asset_id,asset_type,domain,metric,value,value_text,unit,data_as_of,retrieved_at,source,source_priority,confidence_pct,data_quality_pct,calculation_method,source_url
XRP,crypto,tecnico,atr14,0.091086,,EUR,2026-02-02,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.09098,,EUR,2026-02-03,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.091481,,EUR,2026-02-04,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.107575,,EUR,2026-02-05,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.125534,,EUR,2026-02-06,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.122639,,EUR,2026-02-07,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.117465,,EUR,2026-02-08,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.114289,,EUR,2026-02-09,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.109804,,EUR,2026-02-10,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.106404,,EUR,2026-02-11,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.10241,,EUR,2026-02-12,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.099867,,EUR,2026-02-13,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.099334,,EUR,2026-02-14,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.106088,,EUR,2026-02-15,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.102582,,EUR,2026-02-16,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.099312,,EUR,2026-02-17,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.09689,,EUR,2026-02-18,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.093112,,EUR,2026-02-19,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.089961,,EUR,2026-02-20,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.086228,,EUR,2026-02-21,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.083319,,EUR,2026-02-22,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.083417,,EUR,2026-02-23,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.080702,,EUR,2026-02-24,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.083923,,EUR,2026-02-25,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.082822,,EUR,2026-02-26,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.082249,,EUR,2026-02-27,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.083767,,EUR,2026-02-28,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.083455,,EUR,2026-03-01,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.083036,,EUR,2026-03-02,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.08007,,EUR,2026-03-03,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.081893,,EUR,2026-03-04,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.079137,,EUR,2026-03-05,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.077527,,EUR,2026-03-06,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.073611,,EUR,2026-03-07,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.070981,,EUR,2026-03-08,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.06854,,EUR,2026-03-09,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.068408,,EUR,2026-03-10,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.066101,,EUR,2026-03-11,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.063093,,EUR,2026-03-12,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.063322,,EUR,2026-03-13,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.060385,,EUR,2026-03-14,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.0598,,EUR,2026-03-15,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.062358,,EUR,2026-03-16,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.065075,,EUR,2026-03-17,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.066705,,EUR,2026-03-18,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.066069,,EUR,2026-03-19,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.063729,,EUR,2026-03-20,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.062284,,EUR,2026-03-21,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.061071,,EUR,2026-03-22,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.062415,,EUR,2026-03-23,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.060814,,EUR,2026-03-24,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.058356,,EUR,2026-03-25,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.058888,,EUR,2026-03-26,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.057803,,EUR,2026-03-27,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.056153,,EUR,2026-03-28,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.05497,,EUR,2026-03-29,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.053937,,EUR,2026-03-30,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.052591,,EUR,2026-03-31,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.050899,,EUR,2026-04-01,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.051435,,EUR,2026-04-02,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.049718,,EUR,2026-04-03,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.047153,,EUR,2026-04-04,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.047049,,EUR,2026-04-05,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.046388,,EUR,2026-04-06,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.048496,,EUR,2026-04-07,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.047796,,EUR,2026-04-08,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.047175,,EUR,2026-04-09,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.045591,,EUR,2026-04-10,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.044428,,EUR,2026-04-11,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.043419,,EUR,2026-04-12,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.043674,,EUR,2026-04-13,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.043055,,EUR,2026-04-14,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.043365,,EUR,2026-04-15,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.04521,,EUR,2026-04-16,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.046945,,EUR,2026-04-17,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.047135,,EUR,2026-04-18,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.047033,,EUR,2026-04-19,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.045923,,EUR,2026-04-20,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.044614,,EUR,2026-04-21,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.043706,,EUR,2026-04-22,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.042506,,EUR,2026-04-23,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.040891,,EUR,2026-04-24,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.03912,,EUR,2026-04-25,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.037462,,EUR,2026-04-26,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.038607,,EUR,2026-04-27,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.037614,,EUR,2026-04-28,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.038384,,EUR,2026-04-29,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.037278,,EUR,2026-04-30,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.036516,,EUR,2026-05-01,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.035014,,EUR,2026-05-02,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.033771,,EUR,2026-05-03,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.033594,,EUR,2026-05-04,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.033094,,EUR,2026-05-05,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.033131,,EUR,2026-05-06,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.0334,,EUR,2026-05-07,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.033621,,EUR,2026-05-08,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.032627,,EUR,2026-05-09,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.036046,,EUR,2026-05-10,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.036236,,EUR,2026-05-11,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.037283,,EUR,2026-05-12,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.038213,,EUR,2026-05-13,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.043641,,EUR,2026-05-14,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.044702,,EUR,2026-05-15,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.044109,,EUR,2026-05-16,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.044401,,EUR,2026-05-17,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.043751,,EUR,2026-05-18,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.043062,,EUR,2026-05-19,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.041757,,EUR,2026-05-20,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.04066,,EUR,2026-05-21,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.040485,,EUR,2026-05-22,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
XRP,crypto,tecnico,atr14,0.042072,,EUR,2026-05-23,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
